test_id,app_name,section,subsection,dimension_type,sub_dimension,item_description,image_path,expected_output,actual_output,result
18,FoodZilla,Input,Category,Category,Category,Uncooked Food,data/images/TC18.jpg,Vegetables,,
18,SnapCalorie,Input,Category,Category,Category,Uncooked Food,data/images/TC18.jpg,Vegetables,,
18,Lose It!,Input,Category,Category,Category,Uncooked Food,data/images/TC18.jpg,Vegetables,,
19,FoodZilla,Input,Category,Category,Category,Cooked Food,data/images/TC19.jpg,"Pasta, chicken",,
19,SnapCalorie,Input,Category,Category,Category,Cooked Food,data/images/TC19.jpg,"Pasta, chicken",,
19,Lose It!,Input,Category,Category,Category,Cooked Food,data/images/TC19.jpg,"Pasta, chicken",,
20,FoodZilla,Input,Category,Category,Category,Cooked Food,data/images/TC20.jpg,Chicken curry bowl,,
20,SnapCalorie,Input,Category,Category,Category,Cooked Food,data/images/TC20.jpg,Chicken curry bowl,,
20,Lose It!,Input,Category,Category,Category,Cooked Food,data/images/TC20.jpg,Chicken curry bowl,,
21,FoodZilla,Input,State,State,State,Powder Form,data/images/TC21.jpg,Chilli powder,,
21,SnapCalorie,Input,State,State,State,Powder Form,data/images/TC21.jpg,Chilli Powder,,
21,Lose It!,Input,State,State,State,Powder Form,data/images/TC21.jpg,Chilli powder,,
22,FoodZilla,Input,State,State,State,Solid Food,data/images/TC22.jpg,"Bread sandwich, tomato, cheese,lettuce",,
22,SnapCalorie,Input,State,State,State,Solid Food,data/images/TC22.jpg,"Bread sandwich, tomato, cheese,lettuce",,
22,Lose It!,Input,State,State,State,Solid Food,data/images/TC22.jpg,"Bread sandwich, tomato, cheese,lettuce",,
23,FoodZilla,Input,State,State,State,Solid Food,data/images/TC23.jpg,Grilled Chicken,,
23,SnapCalorie,Input,State,State,State,Solid Food,data/images/TC23.jpg,Grilled Chicken,,
23,Lose It!,Input,State,State,State,Solid Food,data/images/TC23.jpg,Grilled Chicken,,
24,FoodZilla,Input,Item Test,Item Test,Item Test,Liquid Food,data/images/TC24.jpg,Fruit Juice,,
24,SnapCalorie,Input,Item Test,Item Test,Item Test,Liquid Food,data/images/TC24.jpg,Fruit Juice,,
24,Lose It!,Input,Item Test,Item Test,Item Test,Liquid Food,data/images/TC24.jpg,Fruit Juice,,
25,FoodZilla,Input,Item Test,Item Test,Item Test,Liquid Food,data/images/TC25.jpg,"Berry, milk, mint",,
25,SnapCalorie,Input,Item Test,Item Test,Item Test,Liquid Food,data/images/TC25.jpg,"Berry, Milk, Mint",,
25,Lose It!,Input,Item Test,Item Test,Item Test,Liquid Food,data/images/TC25.jpg,"Berry, milk, mint",,
26,FoodZilla,Input,Item Test,Item Test,Item Test,Item that looks like food,data/images/TC26.jpg,"Sorry, we could not detect any food item in the picture",,
26,SnapCalorie,Input,Item Test,Item Test,Item Test,Item that looks like food,data/images/TC26.jpg,"Sorry, we could not detect any food item in the picture",,
26,Lose It!,Input,Item Test,Item Test,Item Test,Item that looks like food,data/images/TC26.jpg,"Sorry, we could not detect any food item in the picture",,
27,FoodZilla,Input,Item Test,Item Test,Item Test,Not a food item,data/images/TC27.jpg,"Sorry, we could not detect the food in the picture",,
27,SnapCalorie,Input,Item Test,Item Test,Item Test,Not a food item,data/images/TC27.jpg,"Sorry, we could not detect the food in the picture",,
27,Lose It!,Input,Item Test,Item Test,Item Test,Not a food item,data/images/TC27.jpg,"Sorry, we could not detect the food in the picture",,
28,FoodZilla,Input,Item Test,Item Test,Item Test,Food,data/images/TC28.jpg,Onion,,
28,SnapCalorie,Input,Item Test,Item Test,Item Test,Food,data/images/TC28.jpg,Onion,,
28,Lose It!,Input,Item Test,Item Test,Item Test,Food,data/images/TC28.jpg,Onion,,
29,FoodZilla,Input,Item Test,Item Test,Item Test,Not a Food Item,data/images/TC29.jpg,"Sorry, we could not detect the food in the picture",,
29,SnapCalorie,Input,Item Test,Item Test,Item Test,Not a Food Item,data/images/TC29.jpg,"Sorry, we could not detect the food in the picture",,
29,Lose It!,Input,Item Test,Item Test,Item Test,Not a Food Item,data/images/TC29.jpg,"Sorry, we could not detect the food in the picture",,
30,FoodZilla,Input,Item Test,Item Test,Item Test,Food Item,data/images/TC30.jpg,Bacon,,
30,SnapCalorie,Input,Item Test,Item Test,Item Test,Food Item,data/images/TC30.jpg,Bacon,,
30,Lose It!,Input,Item Test,Item Test,Item Test,Food Item,data/images/TC30.jpg,Bacon,,
31,FoodZilla,Input,Item Test,Item Test,Item Test,Item that looks like food,data/images/TC31.jpg,"Sorry, we could not detect the food in the picture",,
31,SnapCalorie,Input,Item Test,Item Test,Item Test,Item that looks like food,data/images/TC31.jpg,"Sorry, we could not detect the food in the picture",,
31,Lose It!,Input,Item Test,Item Test,Item Test,Item that looks like food,data/images/TC31.jpg,"Sorry, we could not detect the food in the picture",,
